arm,mechanism,severity,outcome,replicate,n_kept,treated_share_kept,naive,outcome_regression,ipw,aipw
primary,confounded_assignment,1.5,visit,15,468978,0.8245376115723978,0.08409228694019635,0.02367948440663558,0.04019644384591369,0.022847127245555866
primary,confounded_assignment,1.5,visit,16,468820,0.8242353141930805,0.08406617255146906,0.015157458666602789,0.03637285760090641,0.014964805535190322
primary,confounded_assignment,1.5,visit,17,469819,0.824547325672227,0.08395053001521569,0.019458021104067285,0.037799782413007084,0.01763759928114987
primary,confounded_assignment,1.5,visit,18,470006,0.8249554261009434,0.08346793593173722,0.0164044602460215,0.037684223125732566,0.01653221479132579
primary,confounded_assignment,1.5,visit,19,469230,0.8238944654007629,0.08473288044132483,0.016741087371581555,0.038323630053018864,0.016265634263615065
primary,confounded_assignment,2.0,visit,0,453389,0.8095983801989021,0.0934137556929638,0.02309675631383,0.049650766713292147,0.02364791376902362
primary,confounded_assignment,2.0,visit,1,452015,0.8092541176730861,0.09430377616651395,0.025142781613773788,0.052226484434489885,0.02486048771568485
primary,confounded_assignment,2.0,visit,2,451977,0.8092380806987967,0.09365024836175032,0.025903170843535484,0.05069672645755259,0.02658331766741339
primary,confounded_assignment,2.0,visit,3,452074,0.8092701637342559,0.0939402745731546,0.021286591935169765,0.04835783312064978,0.019083812217869256
primary,confounded_assignment,2.0,visit,4,452165,0.8095252839118463,0.09336361723429293,0.018864163315418056,0.04836152116442372,0.01750139617890879
primary,confounded_assignment,2.0,visit,5,452896,0.8091946053840176,0.09336992251926968,0.02276347523029016,0.050706982965128274,0.02338937226247993
primary,confounded_assignment,2.0,visit,6,453074,0.8090797529763349,0.09420893997097371,0.02945585713587908,0.05523662061584576,0.028653551042509943
primary,confounded_assignment,2.0,visit,7,452762,0.8096240408868235,0.09365839732089043,0.018174018302851144,0.049742958759214875,0.018081690894030437
primary,confounded_assignment,2.0,visit,8,452061,0.8091452259761404,0.09439177000493353,0.031260976272782376,0.05361732029738104,0.031038204949431113
primary,confounded_assignment,2.0,visit,9,452557,0.8093941757612854,0.09433126738162523,0.025419627435149892,0.05312531820469037,0.024262147539513987
primary,confounded_assignment,2.0,visit,10,452910,0.8095074076527345,0.09360838890644198,0.027015494698201397,0.05153403476789776,0.026854410028790365
primary,confounded_assignment,2.0,visit,11,452524,0.8095879997524993,0.09416474838768998,0.03364119058423071,0.05497391146885905,0.03335854453053022
primary,confounded_assignment,2.0,visit,12,452876,0.8090448599616672,0.09370524800807421,0.029730033987813067,0.05240298892424066,0.028562098009617225
primary,confounded_assignment,2.0,visit,13,451709,0.8097137759043986,0.09397251763830614,0.019065867745697997,0.049241850479121343,0.017330296695074097
